ID,RAdeg,DECdeg,Hmag,PhotFlag,Class_star,AGNflag,zphot,zspec,q_zspec,r_zspec,zbest,zphot_l68,zphot_u68,zphot_l95,zphot_u95,zAGN,M_neb_med,s_neb_med,M_med,s_med,M_14a_cons,M_11a_tau,M_6a_tau^NEB,M_13a_tau,M_12a_tau,M_6a_tau,M_2a_tau,M_15a,M_10c,M_14a_lin,M_14a_deltau,M_14a_tau,M_14a_inctau,M_14a,M_neb_med_lin,s_neb_med_lin,M_med_lin,s_med_lin
10208,215.1185787,52.9911533,25.1867,0,0.01,0,1.512,-99.0,-99,-99,1.512,1.15,2.01,0.93,2.31,-99.0,8.7153,0.106369,8.63965,0.273929,8.5927,8.80115,8.73368,8.92,8.4063,8.31785,8.873,8.73841,8.72,8.45196,8.526,8.64431,8.54312,8.5928,8.70931,0.10329,8.71586,0.25003
10209,214.9033412,52.8390866,26.2149,0,0.09,0,1.457,-99.0,-99,-99,1.457,1.01,2.02,0.56,2.52,-99.0,8.1587,0.189541,8.24225,0.100443,8.0503,8.26702,7.8893,8.38,8.1045,8.27921,8.244,8.20994,8.16,7.91512,7.97492,8.07646,8.00801,8.05045,8.11799,0.18143,8.24596,0.10619
10210,215.0241487,52.9246482,25.4129,0,0.36,0,1.446,-99.0,-99,-99,1.446,1.23,1.79,0.8,2.19,-99.0,8.5019,0.140389,8.63166,0.178236,8.3923,8.55066,8.67228,8.73,8.4309,8.68583,8.901,8.55541,8.56,8.23806,8.35589,8.49421,8.34012,8.49421,8.55448,0.13595,8.6973,0.17994
10228,215.1660592,53.0245149,24.973,0,0.0,0,1.715,-99.0,-99,-99,1.715,1.62,1.76,1.57,1.78,-99.0,8.5456,0.31421,8.8551,0.076615,8.6743,8.85091,8.2403,8.88,8.8302,8.74218,8.951,8.82954,8.96,8.55771,8.57074,8.67571,8.64717,8.55771,8.64509,0.30477,8.8297,0.08074
10232,214.8621509,52.8098869,26.2331,0,0.35,0,1.321,-99.0,-99,-99,1.321,0.87,2.48,0.29,3.0,-99.0,7.779,0.682081,8.42726,0.194007,7.9383,8.45481,7.10312,8.33,8.4509,8.42862,8.825,8.40362,7.7,7.80329,7.84919,8.00632,7.88871,7.80329,8.17269,0.89595,8.4399,0.28735
10236,215.2386322,53.0750745,23.0199,2,0.02,0,2.205,-99.0,-99,-99,2.205,1.96,2.38,1.5,2.5,-99.0,9.8086,0.148345,10.0262,0.093693,9.6766,9.94068,9.69152,10.08,9.9503,10.1514,10.042,9.92328,9.93,9.67199,9.6914,9.73614,9.67382,9.73614,9.76534,0.14494,10.0311,0.0978
10242,215.0503342,52.9433899,26.5808,0,0.36,0,1.358,-99.0,-99,-99,1.358,0.77,2.36,0.3,2.9,-99.0,7.8919,0.195725,8.087,0.039418,7.8031,8.08082,7.70303,8.13,8.0508,8.07846,8.121,8.04399,7.82,7.66913,7.7252,7.84155,7.76025,7.80324,7.93177,0.18908,8.08732,0.03932
10245,215.1072092,52.9834517,25.458,0,0.02,0,1.646,-99.0,-99,-99,1.646,1.27,2.16,0.98,2.45,-99.0,8.8035,0.105999,8.7758,0.239298,8.6669,8.84641,8.85443,8.91,8.6416,8.799,9.213,8.63027,8.81,8.56965,8.68114,8.71306,8.64361,8.68114,8.84641,0.10392,8.85804,0.34905
10247,215.0398595,52.9356096,24.9007,0,0.0,0,1.666,-99.0,-99,-99,1.666,1.5,1.94,1.33,2.14,-99.0,8.9496,0.136248,8.93507,0.309819,8.8306,9.06456,9.06856,9.08,8.8697,9.00043,8.292,8.87073,8.95,8.73703,8.84039,8.85229,8.81516,8.85229,8.96567,0.13262,8.87047,0.22102
10249,214.8434546,52.796642,26.3818,0,0.37,0,2.055,-99.0,-99,-99,2.055,0.9,2.65,0.3,3.16,-99.0,8.4781,0.0652,8.65165,0.073758,8.4132,8.46649,8.54295,8.75,8.6783,8.62716,8.615,8.5533,9.45,8.28054,8.34529,8.45495,8.37039,8.41335,8.48292,0.06505,8.63467,0.08041
